                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.143,                 3.3373,                 4.0951,                 0.0073,                 0.5171,                0.02345,                0.00938,                 2.6643,                 3.5323,                 4.0879,                0.00065,                0.00065,                0.00065
                      2,                 2.9694,                 2.8667,                 3.6227,                 0.0273,                0.19917,                0.01468,                0.00437,                 2.7626,                 5.6869,                 4.1013,               0.001308,               0.001308,               0.001308
                      3,                 2.7667,                 2.7672,                 3.3086,                0.03171,                0.04961,                 0.0064,                0.00148,                 3.8068,                 8.1301,                 6.5895,              0.0019572,              0.0019572,              0.0019572
                      4,                 2.4977,                 2.5348,                 3.0307,                0.07078,                 0.0357,                0.01807,                0.00698,                 3.1273,                 4.1927,                 4.9737,              0.0019604,              0.0019604,              0.0019604
                      5,                 2.3064,                 2.3466,                  2.808,                0.38715,                0.38219,                0.34397,                 0.1403,                 2.0261,                 4.5454,                 2.7138,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.0661,                 2.1295,                 2.6103,                0.47432,                0.51439,                0.47145,                0.20729,                 1.8667,                 3.7314,                 2.6636,              0.0019472,              0.0019472,              0.0019472
                      7,                  1.955,                 1.9325,                  2.471,                0.55013,                0.59226,                0.56617,                 0.2762,                 1.7161,                 2.1794,                  2.407,               0.001934,               0.001934,               0.001934
                      8,                 1.8485,                 1.8014,                 2.3386,                0.63821,                0.60654,                0.64151,                0.32936,                 1.6616,                 1.9151,                 2.2782,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.7584,                  1.665,                 2.2581,                0.72938,                0.69034,                0.74789,                0.41719,                 1.5259,                 1.9948,                 2.0908,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.7041,                 1.5503,                 2.1609,                0.69227,                0.69523,                0.73784,                0.41451,                 1.5121,                 1.6138,                 2.0856,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.6692,                  1.511,                 2.1173,                0.64812,                0.66629,                0.69593,                0.38934,                 1.5415,                  1.553,                 2.0962,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.6544,                 1.4782,                 2.1095,                0.59076,                0.68696,                0.61645,                0.34118,                 1.4751,                 1.8889,                 2.0079,               0.001868,               0.001868,               0.001868
                     13,                 1.5796,                 1.4733,                 2.0292,                0.71044,                0.72656,                0.74794,                0.42512,                 1.5029,                 1.4023,                 2.0385,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.5572,                 1.3606,                  1.984,                0.74745,                0.71965,                0.78886,                0.47297,                 1.4064,                 1.3181,                  1.928,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.5344,                 1.3255,                 1.9824,                0.75904,                0.76827,                0.81508,                0.49662,                 1.3872,                 1.3025,                 1.9022,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.5011,                  1.269,                 1.9582,                  0.782,                0.74333,                0.81128,                0.50039,                 1.3611,                   1.15,                 1.9048,              0.0018152,              0.0018152,              0.0018152
